,url,title,keyword,sorter,zhihu_url,zhihu_type,zhihu_keywords,zhihu_guanzhu,zhihu_liulan,zhihu_answer
0,http://www.baidu.com/link?url=BAbfvhzyQZ2sanbgCETXZlzuHc-ZQWmevEA0tSTWSrSje0l54mnscr6HhM73KxnhsL8sUyaok3j6Xwh3j_XCD_,"七夕节要到了,送老公什么礼物呢? - 知乎",七夕节应该送给老公什么礼物,7,https://www.zhihu.com/question/413702839,问题,"礼物,情人节（Valentine's Day）,七夕",3,883,2
1,http://www.baidu.com/link?url=344HfjFMQCxClTBbegM3s4WrdGzTBnJcCz9HdQ5rQ5mNAwoor51FpxrCpn_rVh0QmuvhmVtAcHkHM2hjJocEjq,七夕节送什么礼物给自己的男朋友或老公? - 知乎,七夕节应该送给老公什么礼物,8,https://www.zhihu.com/question/338352368,问题,"礼物,七夕,情人节礼物",3,189,0
2,http://www.baidu.com/link?url=fjETP_rl1PoAIYJTK7w0s6ybZUYIT3rHlkZuJWbowq6G26E0gRpBrgtrDed2lEoy,七夕情人节送老公什么礼物好?送花怎么样? - 知乎,七夕节应该送给老公什么礼物,10,https://zhuanlan.zhihu.com/p/100766531,专栏,"情人节（Valentine's Day）,七夕,礼物",0,0,0
3,http://www.baidu.com/link?url=UEB5PCyUqfx5eRJ7FoN09WHDa_ao9q02jPfZe9cVKEJ1_RqWQlhzyEZ-BApqPk6DhH9FCQPsXGW_sIOib9dWnq,七夕送什么礼物最走心? - 知乎,七夕送给自己什么礼物,3,https://www.zhihu.com/question/63278054,问题,"调查类问题,礼物,中国传统节日,给女友送礼物,给男友送礼物",2782,3268852,634
4,http://www.baidu.com/link?url=Xjdc4hWn7w5h3bXtuLr-hozBL9a2PQjY07XSxDnw_s-KhcQWBCB4OwSKrgfUJxxr,七夕送什么礼物?老子自己就是礼物! - 知乎,七夕送给自己什么礼物,11,https://zhuanlan.zhihu.com/p/42343033,专栏,"情人节（Valentine's Day）,礼物,七夕",0,0,0
5,http://www.baidu.com/link?url=dPF-azd2ldlgS-2Z9cNIhUeacG94tpaiS7IgB-YQpTJ5MnqseYkVGkicPYYY8ABVDd1PXnz5vvvoNeBS-WT1Tet0g2mjuq8SIohkLrYAXHm,给考上大学的孩子送个什么礼物比较好? - 知乎,上大学 送给孩子什么礼物最好,4,https://www.zhihu.com/question/62433701/answer/1197284574,回答,"大学生活,高考",3,1390,1
6,http://www.baidu.com/link?url=3KEKjbFof2TG4PSjXvfWjJqkAW5UKPgkZMIA6UEjAviJnXPjMjuhFqvMT7TA2zRjQOG7DNMU7Q_YPBsqfob0uq,给长辈送什么礼物好? - 知乎,什么礼物送给长辈比较好,7,https://www.zhihu.com/question/342783107,问题,"礼物,送礼",3,804,1
7,http://www.baidu.com/link?url=lYcgWOYRGViXSLUafHL-dBlALaZpulDqrEQ_8vdjqrwuCHWUo7Z1j4DldPSYyQSx,准备什么礼物送长辈才合适? - 知乎,什么礼物送给长辈比较好,9,https://zhuanlan.zhihu.com/p/79860579,专栏,"智能马桶盖,长辈,创意礼物",0,0,0
8,http://www.baidu.com/link?url=i4RFiy6VZL86krEczrw846wUb7LhIMGiANr0BxnqeH9MsOUpUnmdmkP3lOqxV7VJ,"六一儿童节到了,有哪些适合男孩子的礼物 - 知乎",儿童节送给男孩什么礼物,10,https://zhuanlan.zhihu.com/p/144371093,专栏,,0,0,0
9,http://www.baidu.com/link?url=v6HiCyyQlkXbriVY0-glbvI1C0XflYWhCEbzuyliIikcep_2pMv2_zFbVn0r5waVdCjlMz1SirldGX4-e1kVrLgVEVZdbGA7Iapov6HdILK,有没有什么适合毕业生送给同学的手工制作的礼物? - 知乎,可以送给同学什么礼物手工,6,https://www.zhihu.com/question/399925350/answer/1268907804,回答,"礼物,手工,创意礼物,手工DIY,手工制作",2,442,1
10,http://www.baidu.com/link?url=d5cfGr121g-2_gahYGRkpb8-TiLgYc46gX6Cxrs40XVO4ahkxIlmqlyobF8B1fIwVAm47Ffll-v3YmH2gicwXN8aF3Jdv_IUJAVy5vzznne,有哪些适合送给同学的礼物? - 知乎,可以送给同学什么礼物手工,11,https://www.zhihu.com/question/65468625/answer/1259729901,回答,"礼物,朋友,交际,手工,创意礼物",12,7191,11
11,http://www.baidu.com/link?url=dmHfDMYdmPEdBHi2RnjcKsk3RM07pyp13NhQBnakua2GrxZ2QhAoXqKWikTHHeBIPaPgvD2kTkNTRqBIozegH_,姐姐应该送妹妹什么成年礼物啊? - 知乎,姐姐送给妹妹什么礼物,2,https://www.zhihu.com/question/323637845,问题,"礼物,妹妹,姐姐",2,35,1
12,http://www.baidu.com/link?url=GQgIGikwUAZQzrd6W7m1Cwy9Eu-V5KET6LhYkkas3X2mICJLIo2lJfX5J-qQb_aw7Zcg2hY4rSDTyl-qPjqIrK,父亲送给六岁女儿什么礼物比较好? - 知乎,小女孩可以送给父亲什么礼物,9,https://www.zhihu.com/question/298724108,问题,"礼物,父亲,生日礼物,手工DIY,手工制作",12,9026,12
13,http://www.baidu.com/link?url=Jp9z61dL0Swsv4WY48RWEkQNTQbbB2Z0xGHmC1P-tmgw8sHokShD5BvmejzbWkSCsQ_TOGtDHOK9UeBL19BjbNUrrnF0xYHlccjKCLtVw2C,有什么材料简单适合手工制作的送给闺蜜的礼物? - 知乎,小学生送给闺蜜的手工礼物简单,8,https://www.zhihu.com/question/376620348/answer/1056611121,回答,"礼物,创意礼物,手工制作",4,1981,3
14,http://www.baidu.com/link?url=B9SXRECCESHKczl8GGAGQyxyva3FXwBcvr07WBPNQTJbKjYtKeJnxd_-QqVpYlqJc-W08hW5aQsOku9RzsmBi_,有什么适合手工做的礼物送给女朋友? - 知乎,手工做什么礼物送给女友,3,https://www.zhihu.com/question/66237394,问题,"礼物,女朋友,手工",37,113729,4
