,words,class
0,礼物礼物,6
1,什么礼物,6
2,礼物送什么,6
3,送什么礼物,9
4,礼物生日,6
5,生日礼物礼物,0
6,生日礼物,0
7,朋友礼物,0
8,什么礼物好,4
9,礼物送什么好,4
10,送什么礼物好,0
11,送朋友礼物,9
12,女生礼物,9
13,生日送什么礼物,8
14,送生日礼物,0
15,孩子礼物,0
16,男朋友礼物,0
17,收到礼物,8
18,女朋友礼物,0
19,买什么礼物,4
20,男生礼物,7
21,礼物男生,6
22,妈妈礼物,6
23,直播礼物,7
24,作文礼物,9
25,礼物作文,8
26,作文.礼物,6
27,老师礼物,0
28,情人礼物,0
29,女孩礼物,8
30,手工礼物,8
31,送朋友什么礼物,9
32,一什么礼物,9
33,母亲礼物,9
34,七夕礼物,5
35,送什么生日礼物,7
36,生日礼物送什么,0
37,礼物的作文,3
38,礼物送女生,0
39,教师礼物,9
40,送女生礼物,0
41,结婚礼物,6
42,学生礼物,5
43,好的礼物,4
44,男友礼物,4
45,毕业礼物,9
46,闺蜜礼物,0
47,妈妈的礼物,7
48,送女朋友礼物,0
49,qq礼物,6
50,老公礼物,7
51,送孩子礼物,0
52,礼物制作,1
53,制作礼物,6
54,情人节礼物,0
55,快手礼物,4
56,我的礼物,5
57,送男朋友礼物,0
58,女友礼物,8
59,儿童礼物,0
60,送男生礼物,8
61,送朋友的礼物,7
62,生日送什么礼物好,7
63,礼物图片,3
64,孩子的礼物,3
65,男孩礼物,9
66,一个礼物,8
67,礼物英语,6
68,男人礼物,0
69,女生的礼物,5
70,小孩礼物,6
71,圣诞礼物,0
72,最好的礼物,0
73,老婆礼物,0
74,父亲礼物,3
75,送女孩礼物,7
76,宝宝礼物,6
77,爸爸礼物,0
78,主播礼物,3
79,抖音礼物,5
80,幼儿园礼物,8
81,领导礼物,3
82,老人礼物,3
83,礼物英文,6
84,女儿礼物,7
85,女人礼物,4
86,送孩子什么礼物,0
87,男生的礼物,9
88,小学礼物,0
89,老师的礼物,6
90,六一礼物,9
91,男朋友的礼物,5
92,送妈妈礼物,5
93,父母礼物,6
94,送女生什么礼物,8
95,婚礼礼物,8
96,过生日送什么礼物,6
97,新年礼物,7
98,女朋友的礼物,0
99,送闺蜜礼物,3
100,母亲的礼物,5
101,送女孩什么礼物,0
102,女孩子礼物,0
103,纪念礼物,3
104,小朋友礼物,0
105,圣诞的礼物,1
106,礼物教案,0
107,教师节礼物,5
108,斗鱼礼物,5
109,送女朋友什么礼物,8
110,实用礼物,9
111,送朋友什么礼物好,0
112,送朋友礼物送什么好,0
113,送男生什么礼物,0
114,同事礼物,0
115,分手礼物,3
116,送男友礼物,5
117,男生送什么礼物,0
118,礼物包装,7
119,包装礼物,3
120,给女朋友礼物,6
121,送女友礼物,0
122,直播刷礼物,8
123,创意礼物,0
124,礼物创意,0
125,送小礼物,0
126,送男朋友什么礼物,5
127,客户礼物,8
128,送老师礼物,0
129,虎牙礼物,0
130,母亲节礼物,3
131,三八礼物,3
132,送领导礼物,9
133,生日礼物送什么好,5
134,steam礼物,6
135,女生日礼物,6
136,生日礼物女生,6
137,礼物的英语,0
138,礼物大全,0
139,礼物的英文,6
140,手工制作礼物,5
141,给女生礼物,1
142,一份礼物,9
143,礼物推荐,7
144,活动礼物,5
145,爱的礼物,4
146,结婚送什么礼物,1
147,节日礼物,4
148,送母亲礼物,4
149,送同学礼物,3
150,礼物怎么做,6
