,words,class
0,礼物礼物,47
1,什么礼物,49
2,礼物送什么,0
3,送什么礼物,0
4,礼物生日,17
5,生日礼物礼物,17
6,生日礼物,17
7,朋友礼物,16
8,什么礼物好,19
9,礼物送什么好,19
10,送什么礼物好,22
11,送朋友礼物,45
12,女生礼物,23
13,生日送什么礼物,6
14,送生日礼物,17
15,孩子礼物,22
16,男朋友礼物,22
17,收到礼物,10
18,女朋友礼物,16
19,买什么礼物,19
20,男生礼物,37
21,礼物男生,8
22,妈妈礼物,43
23,直播礼物,15
24,作文礼物,11
25,礼物作文,6
26,作文.礼物,17
27,老师礼物,28
28,情人礼物,28
29,女孩礼物,26
30,手工礼物,24
31,送朋友什么礼物,29
32,一什么礼物,29
33,母亲礼物,29
34,七夕礼物,42
35,送什么生日礼物,4
36,生日礼物送什么,36
37,礼物的作文,40
38,礼物送女生,22
39,教师礼物,0
40,送女生礼物,36
41,结婚礼物,25
42,学生礼物,35
43,好的礼物,19
44,男友礼物,19
45,毕业礼物,29
46,闺蜜礼物,10
47,妈妈的礼物,42
48,送女朋友礼物,10
49,qq礼物,40
50,老公礼物,12
51,送孩子礼物,20
52,礼物制作,48
53,制作礼物,46
54,情人节礼物,26
55,快手礼物,49
56,我的礼物,21
57,送男朋友礼物,35
58,女友礼物,26
59,儿童礼物,11
60,送男生礼物,21
61,送朋友的礼物,27
62,生日送什么礼物好,37
63,礼物图片,40
64,孩子的礼物,40
65,男孩礼物,11
66,一个礼物,5
67,礼物英语,0
68,男人礼物,43
69,女生的礼物,18
70,小孩礼物,46
71,圣诞礼物,17
72,最好的礼物,22
73,老婆礼物,16
74,父亲礼物,1
75,送女孩礼物,37
76,宝宝礼物,22
77,爸爸礼物,47
78,主播礼物,40
79,抖音礼物,2
80,幼儿园礼物,10
81,领导礼物,2
82,老人礼物,16
83,礼物英文,0
84,女儿礼物,20
85,女人礼物,36
86,送孩子什么礼物,36
87,男生的礼物,31
88,小学礼物,49
89,老师的礼物,25
90,六一礼物,8
91,男朋友的礼物,40
92,送妈妈礼物,26
93,父母礼物,23
94,送女生什么礼物,46
95,婚礼礼物,36
96,过生日送什么礼物,4
97,新年礼物,37
98,女朋友的礼物,17
99,送闺蜜礼物,21
100,母亲的礼物,42
101,送女孩什么礼物,33
102,女孩子礼物,43
103,纪念礼物,24
104,小朋友礼物,26
105,圣诞的礼物,48
106,礼物教案,10
107,教师节礼物,18
108,斗鱼礼物,43
109,送女朋友什么礼物,34
110,实用礼物,11
111,送朋友什么礼物好,35
112,送朋友礼物送什么好,36
113,送男生什么礼物,36
114,同事礼物,34
115,分手礼物,39
116,送男友礼物,38
117,男生送什么礼物,31
118,礼物包装,46
119,包装礼物,40
120,给女朋友礼物,15
121,送女友礼物,11
122,直播刷礼物,5
123,创意礼物,22
124,礼物创意,22
125,送小礼物,28
126,送男朋友什么礼物,22
127,客户礼物,47
128,送老师礼物,17
129,虎牙礼物,17
130,母亲节礼物,31
131,三八礼物,31
132,送领导礼物,11
133,生日礼物送什么好,18
134,steam礼物,8
135,女生日礼物,21
136,生日礼物女生,21
137,礼物的英语,18
138,礼物大全,43
139,礼物的英文,22
140,手工制作礼物,42
141,给女生礼物,37
142,一份礼物,48
143,礼物推荐,0
144,活动礼物,26
145,爱的礼物,19
146,结婚送什么礼物,41
147,节日礼物,26
148,送母亲礼物,10
149,送同学礼物,40
150,礼物怎么做,0
151,折纸礼物,46
152,长辈礼物,40
153,送小孩礼物,10
154,礼物盒子,33
155,yy礼物,5
156,爸爸的礼物,0
157,特别礼物,17
158,送妈妈什么礼物,46
159,闺蜜的礼物,12
160,生日礼物手工,32
161,送女生的礼物,36
162,周岁礼物,26
163,手工生日礼物,6
164,中秋礼物,31
165,生日礼物男生,13
166,妈妈生日礼物,2
167,生日送礼物,23
168,送给妈妈的礼物,6
169,员工礼物,49
170,简单的礼物,5
171,快手刷礼物,26
172,送女儿礼物,35
173,小学生礼物,40
174,闺蜜礼物送什么,10
175,男人的礼物,46
176,自制礼物,40
177,男士礼物,12
178,女孩生日礼物,19
179,给自己礼物,26
180,礼物的意义,16
181,礼物排行榜,41
182,圣诞节礼物,2
183,婆婆礼物,0
184,母亲节的礼物,49
185,日本礼物,8
186,毕业送什么礼物,36
187,毕业礼物送什么,4
188,送男朋友的礼物,35
189,男孩的礼物,47
190,送爸爸礼物,2
191,毕业的礼物,1
192,礼物的图片,9
193,朋友生日礼物,36
194,送男生的礼物,0
195,免费礼物,39
196,送男人礼物,25
197,惊喜礼物,18
198,奶奶礼物,3
199,父亲的礼物,48
200,新年的礼物,41
201,儿童节礼物,21
202,生日礼物闺蜜,21
203,闺蜜生日礼物,43
204,送同事礼物,22
205,送女孩子礼物,49
206,送人礼物,21
207,陌陌礼物,1
208,情侣礼物,22
209,送女朋友的礼物,17
210,赠送礼物,47
211,神秘礼物,2
212,生日礼物女朋友,47
213,孩子生日礼物,33
214,中国礼物,36
215,女性礼物,23
216,礼物作文600字,33
217,男孩子礼物,19
218,纪念日礼物,19
219,送女人礼物,22
220,送父亲礼物,34
221,直播间礼物,26
222,18岁礼物,49
223,给妈妈的礼物,8
224,送姐姐礼物,11
225,老人的礼物,33
226,珍贵的礼物,17
227,小女孩礼物,19
228,送女孩的礼物,37
229,送老婆礼物,7
230,送孩子什么礼物好,47
231,礼物翻译,12
232,麦琪的礼物,37
233,一件礼物,16
234,小孩的礼物,12
235,情人节的礼物,4
236,美国礼物,36
237,什么是礼物,33
238,实用的礼物,27
239,爸妈礼物,26
240,父亲节礼物,29
241,送给老师的礼物,49
242,送长辈礼物,23
243,特别的礼物,47
244,生日礼物男,10
245,送父母礼物,36
246,圣诞送什么礼物,20
247,给孩子的礼物,37
248,diy礼物,0
249,儿子的礼物,32
250,一年级礼物,47
251,礼物英语怎么说,2
252,结婚的礼物,11
253,给主播刷礼物,47
254,送妈妈的礼物,0
255,礼物特效,5
256,520礼物,32
257,送老公礼物,49
258,送小朋友礼物,2
259,七夕送什么礼物,13
260,七夕礼物送什么,5
261,情人节送什么礼物,19
262,过生日送什么礼物好,48
263,元旦礼物,31
264,情人节送礼物,0
265,送礼物给朋友,37
266,女生送男生礼物,7
267,男生送女生礼物,0
268,知乎礼物,17
269,小朋友的礼物,40
270,礼物知乎,12
271,30岁礼物,8
272,教师节的礼物,26
273,送男友什么礼物,46
274,特殊的礼物,11
275,送朋友什么生日礼物,32
276,送老师什么礼物,38
277,给老公礼物,25
278,送妹妹礼物,25
279,女神礼物,11
280,圣诞送礼物,43
281,生日礼物女,32
282,你是礼物,45
283,直播平台礼物,45
284,爸爸生日礼物,10
285,老公生日礼物,10
286,送爸爸什么礼物,49
287,男性礼物,38
288,有意义的礼物,0
289,送女孩什么礼物好,27
290,制作生日礼物,40
291,送女生礼物送什么好,49
292,什么样的礼物,46
293,女生送什么礼物好,19
294,送女生什么礼物好,42
295,送礼物送什么,27
296,表白礼物,2
297,满月礼物,27
298,淘宝礼物,45
299,开业礼物,26
300,交换礼物,27
301,礼物交换,46
302,生日礼物送男生,7
303,七号房礼物,19
304,送别礼物,27
305,小孩子礼物,49
306,电影礼物,15
307,礼物电影,39
308,礼物的故事,36
309,回家礼物,40
310,女生喜欢的礼物,10
311,女孩生日送什么礼物,46
312,礼物下载,10
313,妈妈的生日礼物,10
314,老婆送什么礼物,45
315,送闺蜜的礼物,30
316,平安夜礼物,12
317,送什么礼物给老师,33
318,女生喜欢什么礼物,28
319,送朋友生日礼物,0
320,歌曲礼物,46
321,礼物歌曲,49
322,七号房的礼物,19
323,北京礼物,1
324,上海礼物,46
325,礼物的意思,46
326,给老师的礼物,39
327,送男士礼物,16
328,女孩喜欢什么礼物,16
329,qq群礼物,47
330,lol礼物,0
331,送闺蜜生日礼物,10
332,送男友的礼物,16
333,端午礼物,1
334,十岁礼物,26
335,圣诞节的礼物,20
336,特色礼物,35
337,礼物清单,46
338,男生礼物送什么好,42
339,礼物作文500字,10
340,男生喜欢什么礼物,19
341,老婆生日礼物,47
342,送男生什么礼物好,47
343,男生送什么礼物好,1
344,小男孩礼物,16
345,送女朋友礼物送什么好,5
346,送女朋友什么礼物好,46
347,给父亲礼物,42
348,生命礼物,9
349,开学礼物,34
350,送女孩生日礼物,21
351,母亲节送什么礼物,49
352,孕妇礼物,19
353,礼物卡片,49
354,冬天礼物,0
355,浪漫礼物,28
356,女儿生日礼物,18
357,女生的生日礼物,41
358,教师节送什么礼物,0
359,圣诞节送什么礼物,17
360,礼物简笔画,29
361,创意的礼物,28
362,成人礼物,20
363,生日礼物作文,17
364,礼物照片,17
365,给女朋友的礼物,41
366,送男朋友什么礼物好,11
367,送男朋友礼物送什么好,11
368,周年礼物,36
369,女生生日礼物,0
370,心意礼物,46
371,神的礼物,19
372,手工小礼物,48
373,礼物定制,35
374,定制礼物,0
375,朋友生日送什么礼物,0
376,结婚纪念礼物,46
377,婴儿礼物,36
378,结婚送什么礼物好,10
379,退休礼物,40
380,闺蜜生日送什么礼物,18
381,生命的礼物,11
382,送什么礼物给女生,21
383,给女生送什么礼物,46
384,礼物作文400字,29
385,妈妈生日送什么礼物,18
386,送老师的礼物,0
387,给女生的礼物,11
388,父亲节的礼物,43
389,女士礼物,43
390,虎牙直播礼物,1
391,折礼物盒,10
392,老年人礼物,15
393,礼物攻略,7
394,送给爸爸的礼物,40
395,给男朋友的礼物,23
396,给女朋友送什么礼物,46
397,送什么礼物给女朋友,22
398,qq生日礼物,18
399,送女友的礼物,26
400,给女生送礼物,12
401,送礼物给女生,8
402,过生日礼物,35
403,老爸礼物,0
404,生日小礼物,10
405,宝宝生日礼物,10
406,男生的生日礼物,29
407,妇女节礼物,26
408,最好的礼物作文,42
409,送小孩什么礼物好,10
410,开业送什么礼物,49
411,送母亲的礼物,16
412,初中生礼物,37
413,送女生什么生日礼物,46
414,送小学生礼物,32
415,刻字礼物,46
416,结婚纪念日礼物,2
417,大学生礼物,49
418,直播送礼物,43
419,送闺蜜什么礼物好,11
420,抽奖礼物,11
421,送给母亲的礼物,21
422,生日礼物图片,18
423,礼物app,45
424,制作礼物盒,45
425,孩子的生日礼物,19
426,六一送什么礼物,40
427,形容礼物,16
428,玫瑰礼物,14
429,送妈妈生日礼物,19
430,奶奶的礼物,33
431,小孩生日礼物,29
432,礼物阅读答案,0
433,礼物歌词,2
434,给妈妈买礼物,28
435,网红礼物,36
436,女朋友生日礼物,18
437,关于礼物的作文,10
438,给妈妈生日礼物,4
439,送领导礼物送什么好,17
440,生日礼物创意,12
441,送领导什么礼物好,0
442,手工礼物盒,24
443,送妈妈什么礼物好,35
444,b站礼物,0
445,给妈妈送什么礼物,2
446,送什么礼物给妈妈,1
447,六一儿童节礼物,12
448,乔迁礼物,23
449,异地恋礼物,48
450,男朋友生日礼物,37
451,18岁生日礼物,33
452,创意生日礼物,25
453,儿子生日礼物,17
454,怎么包装礼物,26
455,礼物怎么包装,33
456,送女孩什么生日礼物,2
457,七夕节礼物,34
458,难忘的礼物,46
459,小学毕业礼物,6
460,母亲节手工礼物,0
461,泰国礼物,19
462,最珍贵的礼物,29
463,婚礼送什么礼物,26
464,送客户礼物,26
465,珍贵的礼物作文,21
466,国庆礼物,26
467,送男生什么生日礼物,48
468,男朋友的生日礼物,26
469,成人礼礼物,29
470,送领导的礼物,26
471,送什么礼物给男生,26
472,给男生送什么礼物,33
473,一周岁礼物,4
474,宝宝周岁礼物,28
475,本命年送什么礼物,43
476,毕业送老师礼物,27
477,高中生礼物,21
478,男生生日礼物,19
479,毕业礼物送什么好,31
480,毕业送什么礼物好,31
481,结婚送礼物,19
482,实用生日礼物,17
483,国区礼物,29
484,给男生的礼物,21
485,送什么礼物给男朋友,40
486,给男朋友送什么礼物,7
487,给爸爸的礼物,15
488,道歉礼物,18
489,新婚礼物,22
490,送给女生的礼物,7
491,圣诞节送礼物,0
492,送老人礼物,19
493,过年礼物,43
494,妇女节送什么礼物,42
495,qq抽礼物,26
496,爸爸的生日礼物,28
497,礼物表情包,17
498,1岁生日礼物,44
499,儿童节送什么礼物,46
500,中学生礼物,20
501,送爸爸的礼物,42
502,最美的礼物,3
503,送礼物给女朋友,19
504,给女生买礼物,21
505,中秋送什么礼物,21
506,圣诞老人送礼物,45
507,教师节送礼物,5
508,女孩子生日礼物,33
509,给母亲的礼物,28
510,送爸妈礼物,43
511,搬家礼物,43
512,礼物怎么画,49
513,周岁生日礼物,0
514,礼物蝴蝶结,13
515,离职礼物,2
516,女朋友的生日礼物,45
517,送老公什么礼物,23
518,重阳礼物,48
519,折纸生日礼物,33
520,生日礼物折纸,21
521,上帝的礼物,19
522,送给男生的礼物,16
523,精致礼物,31
524,新房礼物,33
525,老师节送什么礼物,18
526,饥荒礼物,49
527,女儿生日送什么礼物,46
528,年会礼物,45
529,互换礼物,6
530,教师节送老师礼物,12
531,周年纪念礼物,45
532,礼物日语,45
533,离别礼物,34
534,奇葩礼物,36
535,圣诞老人的礼物,32
536,送给男朋友的礼物,18
537,爸爸生日送什么礼物,29
538,神秘的礼物,19
539,獾的礼物,31
540,父亲节送什么礼物,4
541,高档礼物,19
542,礼物寄语,32
543,最后的礼物,49
544,礼物的含义,32
545,送导师礼物,31
546,斗鱼刷礼物,31
547,特别的礼物作文,0
548,老公生日送什么礼物,28
549,送给女朋友的礼物,46
550,给老婆买礼物,49
551,成年礼物,2
552,互赠礼物,47
553,教师节手工礼物,16
554,最好的生日礼物,22
555,送给学生的礼物,17
556,什么的礼物,42
557,特殊的礼物作文,49
558,特殊礼物,0
559,大学毕业礼物,17
560,礼物作文800字,49
561,送姐姐的礼物,23
562,爱的礼物蛋糕,2
563,自制生日礼物,16
564,男士生日礼物,0
565,送女领导礼物,7
566,给父母的礼物,49
567,送闺蜜什么生日礼物,0
568,steam送礼物,47
569,成长的礼物,49
570,一岁生日礼物,49
571,怎么做礼物盒,47
572,送同事什么礼物好,15
573,30岁生日礼物,5
574,斗鱼直播礼物,16
575,礼物盒怎么做,2
576,纪念意义的礼物,6
577,一岁宝宝礼物,49
578,送女士礼物,46
579,百天礼物,40
580,新生儿礼物,19
581,老人礼物送什么好,2
582,生日礼物送什么好呢,17
583,送母亲什么礼物好,29
584,十年后的礼物,47
585,三八妇女节的礼物,23
586,浪漫的礼物,7
587,老婆生日送什么礼物,49
588,超级礼物,46
589,小小礼物,1
590,送朋友什么生日礼物好,19
591,20岁生日礼物,26
592,给朋友送什么礼物好,48
593,送男朋友什么生日礼物,19
594,七夕节送什么礼物,45
595,姐姐生日送什么礼物,46
596,女孩生日送什么礼物好,31
597,送爸爸什么礼物好,48
598,送女孩子什么礼物好,22
599,女人喜欢什么礼物,27
600,男人喜欢什么礼物,15
601,电子礼物,48
602,公仪休拒收礼物,39
603,圣诞送什么礼物好,31
604,高端礼物,16
