,word,word_freq
0,礼物,5899
1,送,3022
2,生日,259
3,生日礼物,977
4,朋友,134
5,送礼物,179
6,买,183
7,女生,244
8,孩子,65
9,刷,36
10,男朋友,164
11,收到,40
12,女朋友,241
13,男生,191
14,妈妈,178
15,直播,53
16,作文,91
17,老师,130
18,情人,21
19,女孩,98
20,手工,171
21,母亲,45
22,七夕,53
23,男,85
24,教师,8
25,说,32
26,结婚,193
27,学生,15
28,盒,97
29,女,59
30,男友,74
31,毕业,70
32,闺蜜,110
33,qq,12
34,老公,75
35,制作,80
36,情人节,182
37,手,13
38,女友,87
39,儿童,30
40,图片,56
41,男孩,62
42,一个,3
43,英语,26
44,男人,48
45,小孩,40
46,圣诞礼物,118
47,老婆,119
48,父亲,41
49,宝宝,64
50,爸爸,81
51,主播,26
52,抖,14
53,音,11
54,幼儿园,35
55,领导,76
56,老人,101
57,英文,26
58,女儿,39
59,女人,34
60,小学,11
61,六一,27
62,收,12
63,父母,62
64,婚礼,13
65,过生日,124
66,新年礼物,42
67,女孩子,54
68,纪念,22
69,小朋友,37
70,圣诞,16
71,教案,15
72,教师节,96
73,斗鱼,33
74,实用,122
75,同事,40
76,分手,8
77,包装,47
78,创意,137
79,客户,24
80,虎牙,26
81,母亲节,99
82,三八,2
83,steam,28
84,一份,10
85,推荐,49
86,店,4
87,活动,6
88,爱,33
89,节日,3
90,同学,28
91,做,60
92,折纸,20
93,长辈,52
94,盒子,16
95,yy,6
96,特别,30
97,周岁,17
98,中秋,8
99,卡,3
100,送给,218
101,员工,23
102,快手,5
103,小学生,35
104,花,7
105,自制,36
106,男士,59
107,意义,59
108,排行榜,156
109,圣诞节,153
110,婆婆,32
111,日本,16
112,免费,14
113,奶奶,25
114,新年,13
115,儿童节,38
116,人,39
117,情侣,22
118,赠送,11
119,中国,21
120,女性,12
121,600,14
122,字,50
123,男孩子,18
124,包,18
125,纪念日,51
126,直播间,3
127,18,25
128,岁,262
129,网,18
130,姐姐,36
131,小女孩,34
132,翻译,1
133,麦琪,31
134,一件,7
135,美国,9
136,爸妈,20
137,父亲节,39
138,选,5
139,diy,37
140,儿子,13
141,一年级,8
142,520,42
143,元旦,12
144,知乎,9
145,30,25
146,妹妹,19
147,女神,9
148,拆,4
149,平台,5
150,男性,23
151,表白,13
152,满月,21
153,淘宝,2
154,开业,18
155,交换,8
156,七号,53
157,房,48
158,送别,1
159,图,7
160,小孩子,17
161,电影,15
162,故事,7
163,回家,9
164,喜欢,155
165,下载,17
166,平安夜,15
167,歌曲,8
168,北京,6
169,上海,11
170,群,1
171,lol,10
172,端午,1
173,十岁,17
174,特色,45
175,500,12
176,小男孩,11
177,生命,8
178,开学,1
179,孕妇,34
180,卡片,4
181,冬天,11
182,简笔画,18
183,成人,3
184,照片,4
185,箱,2
186,周年,32
187,心意,4
188,神,9
189,定制,14
190,结婚纪念,2
191,婴儿,24
192,退休,9
193,400,10
194,女士,11
195,折,22
196,老年人,29
197,攻略,9
198,袋,6
199,老爸,20
200,妇女节,19
201,猫,2
202,初中生,15
203,刻字,4
204,大学生,7
205,抽奖,2
206,结,2
207,app,3
208,形容,3
209,玫瑰,2
210,阅读,30
211,答案,22
212,歌词,10
213,网红,3
214,b,14
215,站,16
216,乔迁,14
217,异地,6
218,恋,2
219,七夕节,15
220,难忘,5
221,泰国,7
222,最,131
223,国庆,2
224,成人礼,21
225,一周岁,10
226,本命年,29
227,高中生,11
228,国区,7
229,道歉,1
230,新婚,11
231,过年,61
232,抽,3
233,表情,3
234,1,15
235,中学生,4
236,圣诞老人,18
237,搬家,21
238,画,11
239,蝴蝶结,11
240,离职,9
241,客,1
242,重阳,1
243,上帝,2
244,新房,12
245,节送,5
246,饥荒,4
247,年,15
248,会,16
249,互换,2
250,周年纪念,2
251,日语,2
252,离别,4
253,奇葩,7
254,高档,15
255,寄语,4
256,含义,6
257,导师,12
258,成年,14
259,互赠,2
260,大学毕业,4
261,800,12
262,蛋糕,3
263,成长,6
264,一岁,16
265,百天,6
266,新生儿,13
267,十年,3
268,后,8
269,三八妇女节,17
270,超级,6
271,小小,3
272,诗,1
